alabama
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Bartow County	$1,635	$1,921	$2,024	$2,257	$2,293
Ben Hill County	$1,302	$1,529	$1,611	$1,796	$1,825
Berrien County	$1,318	$1,548	$1,631	$1,819	$1,848
Bibb County	$1,511	$1,775	$1,870	$2,085	$2,119
Bleckley County	$1,500	$1,762	$1,857	$2,071	$2,104
Brantley County	$1,332	$1,565	$1,649	$1,839	$1,868
Brooks County	$1,351	$1,587	$1,672	$1,864	$1,894
Bryan County	$1,970	$2,314	$2,438	$2,718	$2,762
Bulloch County	$1,508	$1,771	$1,866	$2,081	$2,114
Burke County	$1,451	$1,704	$1,796	$2,003	$2,035
Butts County	$1,479	$1,738	$1,831	$2,042	$2,075
Calhoun County	$1,349	$1,585	$1,670	$1,862	$1,892
Camden County	$1,550	$1,820	$1,918	$2,139	$2,173
Candler County	$1,322	$1,553	$1,636	$1,824	$1,854
Carroll County	$1,497	$1,758	$1,853	$2,066	$2,099
Catoosa County	$1,460	$1,715	$1,807	$2,015	$2,047
Charlton County	$1,351	$1,587	$1,672	$1,864	$1,894
Chatham County	$1,795	$2,109	$2,222	$2,478	$2,518
Chattahoochee County	$1,668	$1,959	$2,064	$2,301	$2,339
Chattooga County	$1,268	$1,489	$1,569	$1,749	$1,778
Cherokee County	$1,964	$2,307	$2,431	$2,711	$2,754
Clarke County	$1,603	$1,883	$1,984	$2,212	$2,248
Clay County	$1,357	$1,594	$1,680	$1,873	$1,903
Clayton County	$1,497	$1,758	$1,853	$2,066	$2,099
Clinch County	$1,251	$1,469	$1,548	$1,726	$1,754
Cobb County	$1,986	$2,333	$2,458	$2,741	$2,785
Coffee County	$1,371	$1,610	$1,697	$1,892	$1,923
Colquitt County	$1,329	$1,561	$1,645	$1,834	$1,864
Columbia County	$1,818	$2,135	$2,250	$2,509	$2,549
Cook County	$1,369	$1,608	$1,694	$1,889	$1,919
Coweta County	$1,832	$2,151	$2,267	$2,528	$2,569
Crawford County	$1,357	$1,593	$1,679	$1,872	$1,902
Crisp County	$1,401	$1,646	$1,734	$1,933	$1,965
Dade County	$1,493	$1,754	$1,848	$2,061	$2,094
Dawson County	$1,854	$2,177	$2,294	$2,558	$2,599
Decatur County	$1,391	$1,633	$1,721	$1,919	$1,950
DeKalb County	$1,918	$2,253	$2,374	$2,647	$2,690
Dodge County	$1,519	$1,784	$1,880	$2,096	$2,130
Dooly County	$1,331	$1,563	$1,647	$1,836	$1,866
Dougherty County	$1,418	$1,665	$1,755	$1,957	$1,988
Douglas County	$1,666	$1,957	$2,062	$2,299	$2,336
Early County	$1,469	$1,725	$1,818	$2,027	$2,060
Echols County	$1,216	$1,428	$1,505	$1,678	$1,705
Effingham County	$1,694	$1,990	$2,097	$2,338	$2,376
Elbert County	$1,342	$1,576	$1,661	$1,852	$1,882
Emanuel County	$1,207	$1,418	$1,494	$1,666	$1,693
Evans County	$1,277	$1,500	$1,581	$1,763	$1,791
Fannin County	$1,546	$1,815	$1,913	$2,133	$2,167
Fayette County	$2,183	$2,564	$2,702	$3,013	$3,061
Floyd County	$1,530	$1,797	$1,894	$2,112	$2,146
Forsyth County	$2,352	$2,763	$2,911	$3,246	$3,298
Franklin County	$1,440	$1,691	$1,782	$1,987	$2,019
Fulton County	$2,248	$2,640	$2,782	$3,102	$3,152
Gilmer County	$1,518	$1,783	$1,879	$2,095	$2,129
Glascock County	$1,789	$2,101	$2,214	$2,469	$2,508
Glynn County	$1,663	$1,953	$2,058	$2,295	$2,332
Gordon County	$1,416	$1,663	$1,752	$1,953	$1,985
Grady County	$1,455	$1,709	$1,801	$2,008	$2,041
Greene County	$1,896	$2,227	$2,347	$2,617	$2,659
Gwinnett County	$1,938	$2,276	$2,398	$2,674	$2,717
Habersham County	$1,542	$1,811	$1,908	$2,127	$2,162
Hall County	$1,730	$2,032	$2,141	$2,387	$2,426
Hancock County	$1,670	$1,962	$2,067	$2,305	$2,342
Haralson County	$1,636	$1,922	$2,025	$2,258	$2,294
Harris County	$1,952	$2,293	$2,416	$2,694	$2,737
Hart County	$1,466	$1,721	$1,814	$2,023	$2,055
Heard County	$1,473	$1,730	$1,823	$2,033	$2,065
Henry County	$1,744	$2,048	$2,158	$2,406	$2,445
Houston County	$1,605	$1,885	$1,986	$2,214	$2,250
Irwin County	$1,301	$1,528	$1,610	$1,795	$1,824
Jackson County	$1,765	$2,073	$2,184	$2,435	$2,474
Jasper County	$1,408	$1,653	$1,742	$1,942	$1,974
Jeff Davis County	$1,369	$1,608	$1,694	$1,889	$1,919
Jefferson County	$1,281	$1,504	$1,585	$1,767	$1,796
Jenkins County	$1,345	$1,580	$1,665	$1,856	$1,886
Johnson County	$1,296	$1,522	$1,604	$1,788	$1,817
Jones County	$1,592	$1,870	$1,970	$2,197	$2,232
Lamar County	$1,545	$1,814	$1,912	$2,132	$2,166
Lanier County	$1,404	$1,649	$1,738	$1,938	$1,969
Laurens County	$1,416	$1,663	$1,752	$1,953	$1,985
Lee County	$1,649	$1,937	$2,041	$2,276	$2,312
Liberty County	$1,464	$1,720	$1,812	$2,020	$2,053
Lincoln County	$1,654	$1,943	$2,047	$2,282	$2,319
Long County	$1,605	$1,886	$1,987	$2,216	$2,251
Lowndes County	$1,470	$1,726	$1,819	$2,028	$2,061
Lumpkin County	$1,559	$1,832	$1,930	$2,152	$2,187
McDuffie County	$1,449	$1,702	$1,793	$1,999	$2,031
McIntosh County	$1,548	$1,818	$1,916	$2,136	$2,171
Macon County	$1,281	$1,504	$1,585	$1,767	$1,796
Madison County	$1,402	$1,647	$1,735	$1,935	$1,966
Marion County	$1,311	$1,540	$1,623	$1,810	$1,839
Meriwether County	$1,493	$1,754	$1,848	$2,061	$2,094
Miller County	$1,497	$1,758	$1,853	$2,066	$2,099
Mitchell County	$1,385	$1,627	$1,714	$1,911	$1,942
Monroe County	$1,765	$2,073	$2,184	$2,435	$2,474
Montgomery County	$1,394	$1,637	$1,725	$1,923	$1,954
Morgan County	$1,820	$2,138	$2,253	$2,512	$2,553
Murray County	$1,340	$1,573	$1,658	$1,849	$1,879
Muscogee County	$1,566	$1,839	$1,938	$2,161	$2,196
Newton County	$1,617	$1,899	$2,001	$2,231	$2,267
Oconee County	$2,099	$2,466	$2,598	$2,897	$2,944
Oglethorpe County	$1,469	$1,725	$1,818	$2,027	$2,060
Paulding County	$1,723	$2,024	$2,133	$2,378	$2,417
Peach County	$1,559	$1,831	$1,929	$2,151	$2,186
Pickens County	$1,604	$1,884	$1,985	$2,213	$2,249
Pierce County	$1,351	$1,587	$1,672	$1,864	$1,894
Pike County	$1,744	$2,049	$2,159	$2,407	$2,446
Polk County	$1,496	$1,757	$1,851	$2,064	$2,097
Pulaski County	$1,351	$1,587	$1,672	$1,864	$1,894
Putnam County	$1,517	$1,782	$1,878	$2,094	$2,128
Quitman County	$1,005	$1,181	$1,244	$1,387	$1,409
Rabun County	$1,517	$1,782	$1,878	$2,094	$2,128
Randolph County	$1,214	$1,426	$1,503	$1,676	$1,703
Richmond County	$1,438	$1,689	$1,780	$1,985	$2,017
Rockdale County	$1,698	$1,994	$2,101	$2,343	$2,380
Schley County	$1,563	$1,835	$1,934	$2,156	$2,191
Screven County	$1,367	$1,606	$1,692	$1,887	$1,917
Seminole County	$1,340	$1,573	$1,658	$1,849	$1,879
Spalding County	$1,500	$1,761	$1,856	$2,069	$2,103
Stephens County	$1,396	$1,640	$1,728	$1,927	$1,958
Stewart County	$1,238	$1,454	$1,532	$1,708	$1,736
Sumter County	$1,377	$1,617	$1,704	$1,900	$1,931
Talbot County	$1,441	$1,693	$1,784	$1,989	$2,021
Taliaferro County	$1,277	$1,500	$1,581	$1,763	$1,791
Tattnall County	$1,353	$1,589	$1,674	$1,867	$1,897
Taylor County	$1,260	$1,479	$1,559	$1,738	$1,766
Telfair County	$1,460	$1,715	$1,807	$2,015	$2,047
Terrell County	$1,266	$1,487	$1,567	$1,747	$1,775
Thomas County	$1,582	$1,858	$1,958	$2,183	$2,218
Tift County	$1,436	$1,686	$1,777	$1,981	$2,013
Toombs County	$1,394	$1,637	$1,725	$1,923	$1,954
Towns County	$1,524	$1,790	$1,886	$2,103	$2,137
Treutlen County	$1,361	$1,598	$1,684	$1,878	$1,908
Troup County	$1,528	$1,795	$1,891	$2,108	$2,143
Turner County	$1,289	$1,514	$1,595	$1,778	$1,807
Twiggs County	$1,290	$1,516	$1,597	$1,781	$1,809
Union County	$1,622	$1,905	$2,007	$2,238	$2,274
Upson County	$1,339	$1,572	$1,657	$1,848	$1,877
Walker County	$1,442	$1,694	$1,785	$1,990	$2,022
Walton County	$1,781	$2,092	$2,204	$2,457	$2,497
Ware County	$1,197	$1,406	$1,482	$1,652	$1,679
Warren County	$1,362	$1,600	$1,686	$1,880	$1,910
Washington County	$1,399	$1,644	$1,732	$1,931	$1,962
Wayne County	$1,403	$1,647	$1,736	$1,936	$1,967
Webster County	$1,286	$1,511	$1,592	$1,775	$1,804
Wheeler County	$1,138	$1,337	$1,409	$1,571	$1,596
White County	$1,572	$1,847	$1,946	$2,170	$2,205
Whitfield County	$1,429	$1,679	$1,769	$1,972	$2,004
Wilcox County	$1,393	$1,636	$1,724	$1,922	$1,953
Wilkes County	$1,391	$1,633	$1,721	$1,919	$1,950
Wilkinson County	$1,283	$1,507	$1,588	$1,771	$1,799
Worth County	$1,304	$1,532	$1,614	$1,800	$1,829


hawaii
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Hawaii County	$2,098	$2,465	$2,597	$2,896	$2,942
Honolulu County	$2,895	$3,400	$3,583	$3,995	$4,060
Kalawao County	$2,610	$3,065	$3,230	$3,601	$3,660
Kauai County	$2,657	$3,120	$3,288	$3,666	$3,725
Maui County	$2,735	$3,212	$3,385	$3,774	$3,835


idaho
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Ada County	$1,846	$2,168	$2,285	$2,548	$2,589
Adams County	$1,717	$2,017	$2,125	$2,369	$2,408
Bannock County	$1,517	$1,782	$1,878	$2,094	$2,128
Bear Lake County	$1,384	$1,626	$1,713	$1,910	$1,941
Benewah County	$1,530	$1,797	$1,894	$2,112	$2,146
Bingham County	$1,522	$1,788	$1,884	$2,101	$2,135
Blaine County	$2,042	$2,398	$2,527	$2,818	$2,863
Boise County	$1,749	$2,055	$2,165	$2,414	$2,453
Bonner County	$1,783	$2,094	$2,207	$2,461	$2,501
Bonneville County	$1,605	$1,886	$1,987	$2,216	$2,251
Boundary County	$1,586	$1,863	$1,963	$2,189	$2,224
Butte County	$1,499	$1,760	$1,855	$2,068	$2,102
Camas County	$1,504	$1,766	$1,861	$2,075	$2,109
Canyon County	$1,580	$1,856	$1,956	$2,181	$2,216
Caribou County	$1,441	$1,693	$1,784	$1,989	$2,021
Cassia County	$1,410	$1,656	$1,745	$1,946	$1,977
Clark County	$1,721	$2,021	$2,130	$2,375	$2,413
Clearwater County	$1,428	$1,677	$1,767	$1,970	$2,002
Custer County	$1,518	$1,783	$1,879	$2,095	$2,129
Elmore County	$1,458	$1,713	$1,805	$2,013	$2,045
Franklin County	$1,610	$1,890	$1,992	$2,221	$2,257
Fremont County	$1,513	$1,777	$1,873	$2,088	$2,122
Gem County	$1,530	$1,797	$1,894	$2,112	$2,146
Gooding County	$1,339	$1,572	$1,657	$1,848	$1,877
Idaho County	$1,532	$1,799	$1,896	$2,114	$2,148
Jefferson County	$1,700	$1,997	$2,104	$2,346	$2,384
Jerome County	$1,462	$1,717	$1,809	$2,017	$2,050
Kootenai County	$1,769	$2,077	$2,189	$2,441	$2,480
Latah County	$1,753	$2,058	$2,169	$2,418	$2,457
Lemhi County	$1,486	$1,745	$1,839	$2,050	$2,084
Lewis County	$1,389	$1,631	$1,719	$1,917	$1,948
Lincoln County	$1,424	$1,672	$1,762	$1,965	$1,996
Madison County	$1,635	$1,920	$2,023	$2,256	$2,292
Minidoka County	$1,418	$1,665	$1,755	$1,957	$1,988
Nez Perce County	$1,660	$1,949	$2,054	$2,290	$2,327
Oneida County	$1,396	$1,640	$1,728	$1,927	$1,958
Owyhee County	$1,657	$1,946	$2,051	$2,287	$2,324
Payette County	$1,448	$1,701	$1,792	$1,998	$2,030
Power County	$1,385	$1,627	$1,714	$1,911	$1,942
Shoshone County	$1,358	$1,595	$1,681	$1,874	$1,905
Teton County	$1,958	$2,299	$2,423	$2,702	$2,745
Twin Falls County	$1,555	$1,826	$1,924	$2,145	$2,180
Valley County	$1,908	$2,242	$2,362	$2,634	$2,676
Washington County	$1,393	$1,636	$1,724	$1,922	$1,953


illinois
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Adams County	$1,356	$1,592	$1,678	$1,871	$1,901
Alexander County	$1,292	$1,517	$1,599	$1,783	$1,812
Bond County	$1,457	$1,711	$1,803	$2,010	$2,043
Boone County	$1,642	$1,928	$2,032	$2,266	$2,302
Brown County	$1,239	$1,455	$1,533	$1,709	$1,737
Bureau County	$1,378	$1,618	$1,705	$1,901	$1,932
Calhoun County	$1,643	$1,930	$2,034	$2,268	$2,305
Carroll County	$1,345	$1,580	$1,665	$1,856	$1,886
Cass County	$1,311	$1,540	$1,623	$1,810	$1,839
Champaign County	$1,708	$2,006	$2,114	$2,357	$2,395
Christian County	$1,299	$1,526	$1,608	$1,793	$1,822
Clark County	$1,325	$1,556	$1,640	$1,829	$1,858
Clay County	$1,342	$1,576	$1,661	$1,852	$1,882
Clinton County	$1,608	$1,889	$1,990	$2,219	$2,255
Coles County	$1,317	$1,547	$1,630	$1,817	$1,847
Cook County	$2,247	$2,639	$2,781	$3,101	$3,151
Crawford County	$1,328	$1,560	$1,644	$1,833	$1,863
Cumberland County	$1,337	$1,571	$1,655	$1,845	$1,875
DeKalb County	$1,908	$2,242	$2,362	$2,634	$2,676
De Witt County	$1,364	$1,602	$1,688	$1,882	$1,913
Douglas County	$1,420	$1,668	$1,758	$1,960	$1,992
DuPage County	$2,405	$2,825	$2,977	$3,319	$3,373
Edgar County	$1,248	$1,466	$1,545	$1,723	$1,750
Edwards County	$1,216	$1,428	$1,505	$1,678	$1,705
Effingham County	$1,484	$1,743	$1,837	$2,048	$2,081
Fayette County	$1,317	$1,547	$1,630	$1,817	$1,847
Ford County	$1,353	$1,589	$1,674	$1,867	$1,897
Franklin County	$1,283	$1,507	$1,588	$1,771	$1,799
Fulton County	$1,330	$1,562	$1,646	$1,835	$1,865
Gallatin County	$1,239	$1,455	$1,533	$1,709	$1,737
Greene County	$1,230	$1,444	$1,522	$1,697	$1,724
Grundy County	$1,983	$2,329	$2,454	$2,736	$2,780
Hamilton County	$1,269	$1,490	$1,570	$1,751	$1,779
Hancock County	$1,277	$1,499	$1,580	$1,762	$1,790
Hardin County	$1,219	$1,432	$1,509	$1,683	$1,710
Henderson County	$1,312	$1,541	$1,624	$1,811	$1,840
Henry County	$1,448	$1,701	$1,792	$1,998	$2,030
Iroquois County	$1,384	$1,626	$1,713	$1,910	$1,941
Jackson County	$1,449	$1,702	$1,793	$1,999	$2,031
Jasper County	$1,372	$1,611	$1,698	$1,893	$1,924
Jefferson County	$1,388	$1,630	$1,718	$1,916	$1,946
Jersey County	$1,576	$1,851	$1,950	$2,174	$2,209
Jo Daviess County	$1,530	$1,797	$1,894	$2,112	$2,146
Johnson County	$1,464	$1,720	$1,812	$2,020	$2,053
Kane County	$2,211	$2,596	$2,736	$3,051	$3,100
Kankakee County	$1,697	$1,993	$2,100	$2,342	$2,379
Kendall County	$2,250	$2,643	$2,785	$3,105	$3,155
Knox County	$1,271	$1,493	$1,573	$1,754	$1,782
Lake County	$2,439	$2,864	$3,018	$3,365	$3,419
La Salle County	$1,524	$1,790	$1,886	$2,103	$2,137
Lawrence County	$1,252	$1,471	$1,550	$1,728	$1,756
Lee County	$1,493	$1,754	$1,848	$2,061	$2,094
Livingston County	$1,436	$1,686	$1,777	$1,981	$2,013
Logan County	$1,342	$1,576	$1,661	$1,852	$1,882
McDonough County	$1,265	$1,486	$1,566	$1,746	$1,774
McHenry County	$2,116	$2,485	$2,619	$2,920	$2,967
McLean County	$1,729	$2,031	$2,140	$2,386	$2,425
Macon County	$1,403	$1,647	$1,736	$1,936	$1,967
Macoupin County	$1,355	$1,591	$1,677	$1,870	$1,900
Madison County	$1,593	$1,871	$1,972	$2,199	$2,234
Marion County	$1,327	$1,558	$1,642	$1,831	$1,860
Marshall County	$1,361	$1,599	$1,685	$1,879	$1,909
Mason County	$1,285	$1,509	$1,590	$1,773	$1,801
Massac County	$1,354	$1,591	$1,676	$1,869	$1,899
Menard County	$1,559	$1,831	$1,929	$2,151	$2,186
Mercer County	$1,406	$1,651	$1,740	$1,940	$1,971
Monroe County	$1,988	$2,335	$2,461	$2,744	$2,788
Montgomery County	$1,301	$1,528	$1,610	$1,795	$1,824
Morgan County	$1,362	$1,600	$1,686	$1,880	$1,910
Moultrie County	$1,278	$1,501	$1,582	$1,764	$1,792
Ogle County	$1,577	$1,852	$1,952	$2,176	$2,212
Peoria County	$1,549	$1,819	$1,917	$2,137	$2,172
Perry County	$1,282	$1,506	$1,587	$1,770	$1,798
Piatt County	$1,599	$1,878	$1,979	$2,207	$2,242
Pike County	$1,224	$1,438	$1,515	$1,689	$1,716
Pope County	$1,407	$1,652	$1,741	$1,941	$1,973
Pulaski County	$1,146	$1,346	$1,418	$1,581	$1,607
Putnam County	$1,638	$1,924	$2,027	$2,260	$2,297
Randolph County	$1,389	$1,631	$1,719	$1,917	$1,948
Richland County	$1,288	$1,513	$1,594	$1,777	$1,806
Rock Island County	$1,450	$1,703	$1,795	$2,001	$2,034
St. Clair County	$1,684	$1,978	$2,084	$2,324	$2,361
Saline County	$1,290	$1,515	$1,596	$1,780	$1,808
Sangamon County	$1,567	$1,840	$1,939	$2,162	$2,197
Schuyler County	$1,313	$1,542	$1,625	$1,812	$1,841
Scott County	$1,269	$1,491	$1,571	$1,752	$1,780
Shelby County	$1,319	$1,549	$1,632	$1,820	$1,849
Stark County	$1,308	$1,536	$1,619	$1,805	$1,834
Stephenson County	$1,427	$1,676	$1,766	$1,969	$2,001
Tazewell County	$1,547	$1,817	$1,915	$2,135	$2,170
Union County	$1,448	$1,701	$1,792	$1,998	$2,030
Vermilion County	$1,279	$1,502	$1,583	$1,765	$1,794
Wabash County	$1,418	$1,665	$1,755	$1,957	$1,988
Warren County	$1,243	$1,460	$1,538	$1,715	$1,743
Washington County	$1,536	$1,804	$1,901	$2,120	$2,154
Wayne County	$1,303	$1,531	$1,613	$1,798	$1,828
White County	$1,275	$1,498	$1,578	$1,759	$1,788
Whiteside County	$1,355	$1,591	$1,677	$1,870	$1,900
Will County	$2,221	$2,609	$2,749	$3,065	$3,115
Williamson County	$1,454	$1,707	$1,799	$2,006	$2,038
Winnebago County	$1,488	$1,747	$1,841	$2,053	$2,086
Woodford County	$1,692	$1,987	$2,094	$2,335	$2,373


indiana
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Adams County	$1,290	$1,516	$1,597	$1,781	$1,809
Allen County	$1,379	$1,620	$1,707	$1,903	$1,934
Bartholomew County	$1,484	$1,743	$1,837	$2,048	$2,081
Benton County	$1,274	$1,497	$1,577	$1,758	$1,787
Blackford County	$1,216	$1,428	$1,505	$1,678	$1,705
Boone County	$1,922	$2,258	$2,379	$2,653	$2,695
Brown County	$1,448	$1,701	$1,792	$1,998	$2,030
Carroll County	$1,294	$1,519	$1,601	$1,785	$1,814
Cass County	$1,224	$1,438	$1,515	$1,689	$1,716
Clark County	$1,482	$1,740	$1,834	$2,045	$2,078
Clay County	$1,297	$1,523	$1,605	$1,790	$1,818
Clinton County	$1,300	$1,527	$1,609	$1,794	$1,823
Crawford County	$1,308	$1,536	$1,619	$1,805	$1,834
Daviess County	$1,366	$1,605	$1,691	$1,885	$1,916
Dearborn County	$1,556	$1,828	$1,926	$2,147	$2,182
Decatur County	$1,393	$1,636	$1,724	$1,922	$1,953
DeKalb County	$1,316	$1,546	$1,629	$1,816	$1,846
Delaware County	$1,248	$1,466	$1,545	$1,723	$1,750
Dubois County	$1,405	$1,650	$1,739	$1,939	$1,970
Elkhart County	$1,396	$1,640	$1,728	$1,927	$1,958
Fayette County	$1,174	$1,379	$1,453	$1,620	$1,646
Floyd County	$1,556	$1,828	$1,926	$2,147	$2,182
Fountain County	$1,272	$1,494	$1,574	$1,755	$1,783
Franklin County	$1,581	$1,857	$1,957	$2,182	$2,217
Fulton County	$1,277	$1,499	$1,580	$1,762	$1,790
Gibson County	$1,373	$1,612	$1,699	$1,894	$1,925
Grant County	$1,239	$1,455	$1,533	$1,709	$1,737
Greene County	$1,332	$1,565	$1,649	$1,839	$1,868
Hamilton County	$2,032	$2,387	$2,515	$2,804	$2,849
Hancock County	$1,563	$1,835	$1,934	$2,156	$2,191
Harrison County	$1,417	$1,665	$1,754	$1,956	$1,987
Hendricks County	$1,695	$1,991	$2,098	$2,339	$2,377
Henry County	$1,226	$1,440	$1,517	$1,691	$1,719
Howard County	$1,264	$1,484	$1,564	$1,744	$1,772
Huntington County	$1,287	$1,512	$1,593	$1,776	$1,805
Jackson County	$1,343	$1,577	$1,662	$1,853	$1,883
Jasper County	$1,489	$1,749	$1,843	$2,055	$2,088
Jay County	$1,189	$1,397	$1,472	$1,641	$1,668
Jefferson County	$1,370	$1,610	$1,696	$1,891	$1,922
Jennings County	$1,332	$1,564	$1,648	$1,838	$1,867
Johnson County	$1,576	$1,851	$1,950	$2,174	$2,209
Knox County	$1,295	$1,521	$1,603	$1,787	$1,816
Kosciusko County	$1,402	$1,647	$1,735	$1,935	$1,966
LaGrange County	$1,445	$1,697	$1,788	$1,994	$2,026
Lake County	$1,572	$1,846	$1,945	$2,169	$2,204
LaPorte County	$1,369	$1,608	$1,694	$1,889	$1,919
Lawrence County	$1,339	$1,572	$1,657	$1,848	$1,877
Madison County	$1,313	$1,542	$1,625	$1,812	$1,841
Marion County	$1,485	$1,744	$1,838	$2,049	$2,082
Marshall County	$1,382	$1,623	$1,710	$1,907	$1,937
Martin County	$1,394	$1,637	$1,725	$1,923	$1,954
Miami County	$1,182	$1,388	$1,463	$1,631	$1,658
Monroe County	$1,552	$1,823	$1,921	$2,142	$2,176
Montgomery County	$1,337	$1,571	$1,655	$1,845	$1,875
Morgan County	$1,507	$1,770	$1,865	$2,079	$2,113
Newton County	$1,375	$1,615	$1,702	$1,898	$1,928
Noble County	$1,365	$1,603	$1,689	$1,883	$1,914
Ohio County	$1,506	$1,769	$1,864	$2,078	$2,112
Orange County	$1,303	$1,531	$1,613	$1,798	$1,828
Owen County	$1,333	$1,566	$1,650	$1,840	$1,869
Parke County	$1,207	$1,418	$1,494	$1,666	$1,693
Perry County	$1,269	$1,490	$1,570	$1,751	$1,779
Pike County	$1,288	$1,513	$1,594	$1,777	$1,806
Porter County	$1,708	$2,006	$2,114	$2,357	$2,395
Posey County	$1,496	$1,757	$1,851	$2,064	$2,097
Pulaski County	$1,207	$1,418	$1,494	$1,666	$1,693
Putnam County	$1,472	$1,729	$1,822	$2,032	$2,064
Randolph County	$1,205	$1,415	$1,491	$1,662	$1,689
Ripley County	$1,449	$1,702	$1,793	$1,999	$2,031
Rush County	$1,382	$1,624	$1,711	$1,908	$1,939
St. Joseph County	$1,373	$1,612	$1,699	$1,894	$1,925
Scott County	$1,329	$1,561	$1,645	$1,834	$1,864
Shelby County	$1,445	$1,697	$1,788	$1,994	$2,026
Spencer County	$1,450	$1,703	$1,795	$2,001	$2,034
Starke County	$1,281	$1,504	$1,585	$1,767	$1,796
Steuben County	$1,397	$1,641	$1,729	$1,928	$1,959
Sullivan County	$1,219	$1,432	$1,509	$1,683	$1,710
Switzerland County	$1,458	$1,713	$1,805	$2,013	$2,045
Tippecanoe County	$1,420	$1,668	$1,758	$1,960	$1,992
Tipton County	$1,333	$1,566	$1,650	$1,840	$1,869
Union County	$1,349	$1,585	$1,670	$1,862	$1,892
Vanderburgh County	$1,407	$1,652	$1,741	$1,941	$1,973
Vermillion County	$1,190	$1,398	$1,473	$1,642	$1,669
Vigo County	$1,295	$1,521	$1,603	$1,787	$1,816
Wabash County	$1,252	$1,471	$1,550	$1,728	$1,756
Warren County	$1,334	$1,567	$1,651	$1,841	$1,871
Warrick County	$1,552	$1,823	$1,921	$2,142	$2,176
Washington County	$1,361	$1,599	$1,685	$1,879	$1,909
Wayne County	$1,240	$1,457	$1,535	$1,712	$1,739
Wells County	$1,322	$1,553	$1,636	$1,824	$1,854
White County	$1,363	$1,601	$1,687	$1,881	$1,911
Whitley County	$1,387	$1,629	$1,717	$1,914	$1,945


iowa
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Adair County	$1,446	$1,699	$1,790	$1,996	$2,028
Adams County	$1,427	$1,676	$1,766	$1,969	$2,001
Allamakee County	$1,476	$1,734	$1,827	$2,037	$2,070
Appanoose County	$1,329	$1,561	$1,645	$1,834	$1,864
Audubon County	$1,243	$1,460	$1,538	$1,715	$1,743
Benton County	$1,574	$1,849	$1,948	$2,172	$2,207
Black Hawk County	$1,505	$1,768	$1,863	$2,077	$2,111
Boone County	$1,572	$1,847	$1,946	$2,170	$2,205
Bremer County	$1,597	$1,876	$1,977	$2,204	$2,240
Buchanan County	$1,496	$1,758	$1,852	$2,065	$2,098
Buena Vista County	$1,350	$1,586	$1,671	$1,863	$1,893
Butler County	$1,373	$1,612	$1,699	$1,894	$1,925
Calhoun County	$1,255	$1,474	$1,553	$1,732	$1,760
Carroll County	$1,384	$1,626	$1,713	$1,910	$1,941
Cass County	$1,301	$1,528	$1,610	$1,795	$1,824
Cedar County	$1,547	$1,817	$1,915	$2,135	$2,170
Cerro Gordo County	$1,441	$1,692	$1,783	$1,988	$2,020
Cherokee County	$1,318	$1,548	$1,631	$1,819	$1,848
Chickasaw County	$1,386	$1,628	$1,715	$1,912	$1,943
Clarke County	$1,538	$1,807	$1,904	$2,123	$2,157
Clay County	$1,400	$1,645	$1,733	$1,932	$1,963
Clayton County	$1,401	$1,646	$1,734	$1,933	$1,965
Clinton County	$1,430	$1,680	$1,770	$1,974	$2,005
Crawford County	$1,326	$1,557	$1,641	$1,830	$1,859
Dallas County	$2,087	$2,451	$2,583	$2,880	$2,927
Davis County	$1,501	$1,763	$1,858	$2,072	$2,105
Decatur County	$1,370	$1,609	$1,695	$1,890	$1,920
Delaware County	$1,471	$1,727	$1,820	$2,029	$2,062
Des Moines County	$1,408	$1,654	$1,743	$1,943	$1,975
Dickinson County	$1,509	$1,773	$1,868	$2,083	$2,116
Dubuque County	$1,631	$1,915	$2,018	$2,250	$2,286
Emmet County	$1,199	$1,408	$1,484	$1,655	$1,681
Fayette County	$1,349	$1,585	$1,670	$1,862	$1,892
Floyd County	$1,342	$1,576	$1,661	$1,852	$1,882
